"model","feature_set","n","accuracy","balanced_accuracy","f1","auc","positive_rate_actual","positive_rate_predicted"
"historical_positive_rate","naive",60480,0.515740740740741,0.5,0,0.5,0.484259259259259,0
"glmnet_logistic","lagged_returns",60480,0.512037037037037,0.511848897864187,0.501014473150277,0.513300533919882,0.484259259259259,0.493650793650794
"random_forest","lagged_returns",60480,0.508614417989418,0.513300371914748,0.566177651266331,0.518470645352793,0.484259259259259,0.648429232804233
"xgboost","lagged_returns",60480,0.513210978835979,0.512087689052986,0.486616562331072,0.517471937339357,0.484259259259259,0.463938492063492
"glmnet_logistic","lagged_returns_plus_node_network",60480,0.511739417989418,0.511690623226919,0.502962364505487,0.512962715451065,0.484259259259259,0.498082010582011
"random_forest","lagged_returns_plus_node_network",60480,0.51114417989418,0.515456971121192,0.56382037058893,0.519585150914175,0.484259259259259,0.636507936507936
"xgboost","lagged_returns_plus_node_network",60480,0.513244047619048,0.512120790642499,0.486651437738679,0.517501060498742,0.484259259259259,0.463938492063492
"glmnet_logistic","lagged_returns_plus_aggregate_signals",60480,0.512665343915344,0.512490333109877,0.501859113034072,0.513853178858607,0.484259259259259,0.494047619047619
"random_forest","lagged_returns_plus_aggregate_signals",60480,0.507357804232804,0.511972691679045,0.564215822497843,0.514707698471701,0.484259259259259,0.646213624338624
"xgboost","lagged_returns_plus_aggregate_signals",60480,0.513210978835979,0.512087689052986,0.486616562331072,0.517483077381568,0.484259259259259,0.463938492063492
"glmnet_logistic","lagged_returns_plus_pair_signals",60480,0.512549603174603,0.512291631623935,0.50039824433561,0.514210065222216,0.484259259259259,0.491418650793651
"random_forest","lagged_returns_plus_pair_signals",60480,0.515128968253968,0.519971445588097,0.573721163490471,0.522707077961389,0.484259259259259,0.653191137566138
"xgboost","lagged_returns_plus_pair_signals",60480,0.513210978835979,0.512087689052986,0.486616562331072,0.517471937339357,0.484259259259259,0.463938492063492
"glmnet_logistic","lagged_returns_plus_all_network",60480,0.511425264550265,0.511316238119594,0.501677993827681,0.512053131059211,0.484259259259259,0.496180555555556
"random_forest","lagged_returns_plus_all_network",60480,0.511243386243386,0.515329100906885,0.561085704104057,0.519006179046568,0.484259259259259,0.629298941798942
"xgboost","lagged_returns_plus_all_network",60480,0.513244047619048,0.512120790642499,0.486651437738679,0.517473202730808,0.484259259259259,0.463938492063492
"glmnet_logistic","lagged_returns_plus_asset_signal_interactions",60480,0.515426587301587,0.515126660167313,0.502622066086248,0.519783720497289,0.484259259259259,0.489996693121693
"random_forest","lagged_returns_plus_asset_signal_interactions",60480,0.506365740740741,0.513106543718373,0.587939767849502,0.515454781862627,0.484259259259259,0.713707010582011
"xgboost","lagged_returns_plus_asset_signal_interactions",60480,0.512103174603175,0.51092616040687,0.484540404569752,0.518900869689095,0.484259259259259,0.462268518518519
