"asset","model","feature_set","n","accuracy","balanced_accuracy","f1","auc","positive_rate_actual","positive_rate_predicted"
"ADA","historical_positive_rate","naive",5040,0.524404761904762,0.5,0,0.5,0.475595238095238,0
"AVAX","historical_positive_rate","naive",5040,0.544444444444444,0.5,0,0.5,0.455555555555556,0
"BNB","historical_positive_rate","naive",5040,0.492063492063492,0.5,0,0.5,0.507936507936508,0
"BTC","historical_positive_rate","naive",5040,0.500992063492063,0.5,0,0.5,0.499007936507937,0
"DOGE","historical_positive_rate","naive",5040,0.505357142857143,0.5,0,0.5,0.494642857142857,0
"DOT","historical_positive_rate","naive",5040,0.528769841269841,0.5,0,0.5,0.471230158730159,0
"ETH","historical_positive_rate","naive",5040,0.503769841269841,0.5,0,0.5,0.496230158730159,0
"LINK","historical_positive_rate","naive",5040,0.539880952380952,0.5,0,0.5,0.460119047619048,0
"LTC","historical_positive_rate","naive",5040,0.511507936507936,0.5,0,0.5,0.488492063492063,0
"SOL","historical_positive_rate","naive",5040,0.502579365079365,0.5,0,0.5,0.497420634920635,0
"TRX","historical_positive_rate","naive",5040,0.520238095238095,0.5,0,0.5,0.479761904761905,0
"XRP","historical_positive_rate","naive",5040,0.514880952380952,0.5,0,0.5,0.485119047619048,0
"ADA","glmnet_logistic","lagged_returns",5040,0.509722222222222,0.509434797659011,0.494165813715455,0.51443308423586,0.475595238095238,0.493650793650794
"AVAX","glmnet_logistic","lagged_returns",5040,0.505952380952381,0.505430918011804,0.479515050167224,0.509705210481405,0.455555555555556,0.493650793650794
"BNB","glmnet_logistic","lagged_returns",5040,0.516269841269841,0.516374747983871,0.517036450079239,0.518109091481855,0.507936507936508,0.493650793650794
"BTC","glmnet_logistic","lagged_returns",5040,0.512103174603175,0.512090624569415,0.508494903058165,0.514674172785072,0.499007936507937,0.493650793650794
"DOGE","glmnet_logistic","lagged_returns",5040,0.511309523809524,0.511242787224724,0.505520979722947,0.510584721633609,0.494642857142857,0.493650793650794
