"model","lag_cap","window_days","feature_set","baseline_auc","auc","delta_auc"
"glmnet_logistic",6,15,"lagged_returns_plus_asset_signal_interactions",0.520803919393766,0.522554712278974,0.00175079288520796
"glmnet_logistic",6,30,"lagged_returns_plus_asset_signal_interactions",0.519336135887875,0.520292642658568,0.000956506770693033
"glmnet_logistic",6,45,"lagged_returns_plus_asset_signal_interactions",0.519877166771404,0.521311129710078,0.00143396293867393
"glmnet_logistic",12,15,"lagged_returns_plus_asset_signal_interactions",0.516096033524417,0.521040521873681,0.00494448834926398
"glmnet_logistic",12,30,"lagged_returns_plus_asset_signal_interactions",0.513300533919882,0.519783720497289,0.0064831865774071
"glmnet_logistic",12,45,"lagged_returns_plus_asset_signal_interactions",0.514839168966453,0.515175285387468,0.000336116421015054
"glmnet_logistic",24,15,"lagged_returns_plus_asset_signal_interactions",0.502945706697655,0.504308593677343,0.001362886979688
"glmnet_logistic",24,30,"lagged_returns_plus_asset_signal_interactions",0.498738842575075,0.506724990733306,0.00798614815823101
"glmnet_logistic",24,45,"lagged_returns_plus_asset_signal_interactions",0.502227451914201,0.505126682253587,0.00289923033938599
"random_forest",6,15,"lagged_returns_plus_node_network",0.516315797876169,0.518029994756108,0.00171419687993901
"random_forest",6,30,"lagged_returns_plus_all_network",0.514632125266012,0.519412786208778,0.00478066094276597
"random_forest",6,45,"lagged_returns_plus_node_network",0.513280506043354,0.521434116057145,0.008153610013791
"random_forest",12,15,"lagged_returns_plus_node_network",0.526167797208041,0.522506289874146,-0.00366150733389492
"random_forest",12,30,"lagged_returns_plus_pair_signals",0.518470645352793,0.522707077961389,0.00423643260859607
"random_forest",12,45,"lagged_returns_plus_aggregate_signals",0.518677574893289,0.524685248515651,0.00600767362236199
"random_forest",24,15,"lagged_returns_plus_pair_signals",0.516509189015936,0.518630957878994,0.00212176886305804
"random_forest",24,30,"lagged_returns_plus_pair_signals",0.515141728286706,0.521073795291294,0.00593206700458804
"random_forest",24,45,"lagged_returns_plus_node_network",0.514939926613314,0.525800589796025,0.010860663182711
"xgboost",6,15,"lagged_returns_plus_all_network",0.520533123432865,0.521278113690015,0.000744990257150024
"xgboost",6,30,"lagged_returns_plus_aggregate_signals",0.519470301862502,0.519407841220993,-6.24606415089435e-05
"xgboost",6,45,"lagged_returns_plus_asset_signal_interactions",0.516563932392271,0.517058515113018,0.000494582720746983
"xgboost",12,15,"lagged_returns_plus_asset_signal_interactions",0.521814239082219,0.522454193915266,0.000639954833047018
"xgboost",12,30,"lagged_returns_plus_asset_signal_interactions",0.517471937339357,0.518900869689095,0.00142893234973795
"xgboost",12,45,"lagged_returns_plus_asset_signal_interactions",0.517158350779539,0.518466175032911,0.00130782425337206
"xgboost",24,15,"lagged_returns_plus_node_network",0.513229547179892,0.513229547179892,0
"xgboost",24,30,"lagged_returns_plus_pair_signals",0.516678400070925,0.516678400070925,0
"xgboost",24,45,"lagged_returns_plus_node_network",0.511233152957054,0.511239693701646,6.540744592054e-06
